Question,Response,Overall,Age: 18–29,Age: 30–44,Age: 45–59,Age: 60+,Income: Under $25K,Income: $25K–$50K,Income: $50K–$75K,Income: $75K–$100K,Income: $100K+,Education: Less than HS,Education: High school,Education: Some college,Education: Bachelor+,Employment: Full-time,Employment: Part-time,Employment: Not working
AI Services Used,None (no AI use),49.2%,38.1%,39.43%,47.23%,65.77%,48.88%,58.94%,56.12%,47.37%,45.23%,58.43%,57.17%,51.11%,39.39%,41.78%,49.39%,58.14%
Frequency of Use,Once (1 day),34.91%,32.83%,30.24%,38.48%,40.08%,37.84%,39.67%,39.28%,41.56%,31.09%,39.92%,39.82%,41.79%,27.58%,34.65%,38.33%,33.79%
Frequency of Use,2–5 days,48.4%,47.64%,50.83%,49.04%,44.95%,48.07%,45.21%,46.79%,41.07%,51.05%,50.26%,46.18%,44.14%,51.7%,48.43%,44.46%,50.14%
Frequency of Use,Nearly every day (6–7),16.69%,19.53%,18.93%,12.48%,14.97%,14.09%,15.12%,13.93%,17.37%,17.85%,9.81%,14.0%,14.08%,20.72%,16.92%,17.2%,16.08%
Intensity of Use,A little (1–2 quick tasks),62.48%,53.94%,55.21%,66.87%,77.67%,52.9%,56.16%,64.27%,64.62%,64.46%,60.84%,62.71%,62.52%,62.61%,59.25%,65.41%,66.63%
Intensity of Use,A moderate amount,31.9%,39.62%,36.14%,30.16%,19.06%,39.49%,36.75%,33.64%,28.95%,29.98%,34.14%,33.11%,30.73%,31.55%,34.32%,29.94%,28.69%
Intensity of Use,A lot (relied heavily),5.62%,6.44%,8.65%,2.97%,3.27%,7.61%,7.09%,2.09%,6.43%,5.56%,5.03%,4.18%,6.75%,5.84%,6.43%,4.65%,4.68%
Work vs Personal,Mostly work,25.73%,27.03%,26.61%,23.72%,25.08%,18.7%,15.16%,18.88%,15.66%,31.55%,19.6%,22.45%,15.66%,32.52%,28.42%,15.69%,
Work vs Personal,Mostly personal,47.06%,43.65%,45.47%,48.73%,54.91%,60.33%,53.35%,51.06%,55.88%,42.15%,48.71%,55.02%,56.65%,39.22%,44.14%,57.96%,
Work vs Personal,Roughly equal,25.31%,26.81%,26.27%,27.55%,13.9%,12.84%,28.5%,25.89%,24.39%,26.04%,19.7%,18.85%,25.8%,27.95%,25.94%,22.94%,
Work vs Personal,Not sure,1.91%,2.5%,1.65%,0.0%,6.1%,8.14%,2.99%,4.17%,4.07%,0.26%,12.0%,3.68%,1.9%,0.31%,1.5%,3.41%,
AI Replaced Tasks,Yes,19.07%,18.65%,21.71%,17.45%,15.04%,21.56%,12.94%,19.4%,16.67%,20.27%,28.34%,12.64%,17.74%,21.14%,20.25%,14.6%,
AI Replaced Tasks,No,75.53%,72.61%,74.69%,78.12%,77.79%,70.8%,82.52%,71.18%,76.36%,75.53%,68.6%,76.5%,79.59%,73.87%,75.12%,77.09%,
AI Replaced Tasks,Not sure,5.4%,8.74%,3.6%,4.42%,7.17%,7.64%,4.54%,9.43%,6.98%,4.2%,3.06%,10.86%,2.67%,4.99%,4.63%,8.31%,
AI Enabled New Tasks,Yes,14.4%,15.19%,15.95%,13.1%,10.9%,15.16%,9.16%,15.42%,12.63%,15.35%,9.39%,14.45%,9.42%,17.36%,15.33%,10.91%,
AI Enabled New Tasks,No,79.55%,76.97%,77.14%,82.14%,86.26%,77.2%,84.45%,72.69%,82.52%,79.67%,81.43%,75.19%,84.26%,78.62%,79.02%,81.56%,
AI Enabled New Tasks,Not sure,6.05%,7.84%,6.91%,4.76%,2.83%,7.64%,6.39%,11.89%,4.85%,4.98%,9.18%,10.36%,6.32%,4.02%,5.65%,7.53%,
